x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
330.228,808.278,142.431,522.679,438.409,569.864,604.964,765.454,1114.879,1763.874,997.854,631.806,1401.168,754.861,1370.638,631.750,1074.204,644.384,762.079,1315.269
334.687,803.753,142.352,518.543,438.659,570.095,605.395,766.213,1048.326,1794.607,999.795,629.955,1399.186,755.592,1373.358,632.201,1073.355,644.603,760.424,1308.637
338.686,799.748,142.276,510.146,439.527,566.460,606.176,767.880,1117.471,1761.774,1002.608,627.710,1397.749,755.921,1376.484,633.278,1072.018,644.895,758.669,1301.813
341.119,797.520,141.754,503.990,440.096,564.556,606.934,769.396,1118.897,1761.304,1005.387,625.616,1394.777,759.009,1377.985,634.352,1070.884,645.736,756.884,1295.591
345.624,793.779,140.441,495.480,441.091,558.215,606.772,769.384,1052.052,1793.615,1008.505,623.338,1393.335,760.364,1378.629,635.847,1073.472,644.885,755.082,1289.640
347.455,792.111,139.772,486.511,441.806,557.164,607.780,771.334,1120.390,1760.405,1011.927,620.629,1391.761,761.963,1379.426,637.272,1072.593,644.938,752.792,1282.841
351.247,789.106,138.507,477.899,442.474,553.805,608.621,772.860,1121.432,1759.631,1015.092,618.093,1389.559,765.760,1380.260,639.198,1069.251,645.560,751.308,1277.872
355.483,786.048,138.857,477.768,443.466,548.712,608.964,773.493,1121.926,1758.980,1017.946,615.773,1387.835,768.895,1380.759,641.148,1070.893,645.335,748.927,1271.100
357.369,784.549,137.354,468.343,444.135,545.369,609.336,774.151,1122.863,1758.309,1020.880,613.625,1387.150,771.493,1382.965,644.745,1069.432,646.215,746.287,1264.076
361.652,781.386,137.004,463.803,444.658,544.402,609.888,775.370,1123.508,1757.940,1023.333,612.198,1386.420,774.511,1384.195,647.586,1065.174,647.803,743.861,1256.722
365.518,778.783,136.786,460.140,445.481,541.293,609.899,775.654,1124.797,1757.205,1026.592,610.247,1384.578,779.116,1385.698,650.685,1063.992,648.279,741.852,1250.375
368.628,776.352,136.617,455.929,446.117,541.024,610.472,777.101,1127.430,1755.780,1029.618,608.711,1382.001,782.851,1387.016,653.871,1067.627,646.734,739.494,1242.077
371.957,773.645,135.862,449.393,448.134,534.841,610.852,777.679,1127.006,1755.802,1032.582,607.715,1380.655,783.772,1388.117,656.748,1062.006,649.385,737.588,1235.709
374.837,771.476,135.653,445.513,450.072,531.427,611.355,778.870,1128.845,1754.453,1036.690,607.207,1377.267,787.134,1389.481,660.585,1059.804,649.902,735.418,1227.689
377.983,768.712,135.717,444.364,453.003,527.294,611.941,779.918,1128.882,1754.107,1039.635,607.416,1373.385,790.061,1390.733,663.412,1059.773,649.610,733.518,1220.704
380.143,766.857,135.847,444.276,456.760,523.109,612.245,780.715,1131.018,1752.683,1043.526,607.462,1369.798,792.412,1391.404,665.880,1055.340,652.200,731.491,1214.045
384.363,763.453,134.909,437.515,459.779,520.696,612.436,781.349,1131.342,1752.193,1043.346,606.828,1365.656,795.356,1391.374,667.546,1054.260,655.165,729.233,1206.971
387.071,761.650,135.721,440.332,464.448,517.325,612.801,782.031,1132.362,1751.377,nan,nan,1362.121,798.071,1392.464,670.288,nan,nan,727.246,1201.022
389.477,759.965,134.909,435.201,468.115,515.232,612.941,782.248,1133.268,1750.658,1043.641,603.854,1358.811,800.459,1390.465,679.047,nan,nan,725.048,1193.877
393.928,756.750,134.988,433.956,469.830,513.983,613.349,783.072,1133.080,1750.590,1043.788,602.367,1354.537,804.580,1385.341,780.840,1391.242,706.363,722.951,1187.215
396.601,754.719,134.502,430.081,472.973,512.448,613.938,784.257,1132.860,1750.382,1043.289,601.855,1352.891,806.701,nan,nan,1388.182,708.013,720.952,1180.214
399.544,752.402,135.111,432.714,476.667,510.426,614.342,785.179,1134.405,1749.321,1043.376,602.021,1349.797,810.252,1380.031,785.762,1384.690,709.781,719.273,1174.687
403.110,749.623,134.411,427.745,482.660,507.503,614.404,785.388,1134.368,1749.008,1046.339,602.548,1345.534,815.651,1376.140,789.926,1381.496,711.261,717.058,1167.002
404.827,748.322,134.823,429.380,487.211,505.318,614.197,784.939,1135.367,1748.186,1047.309,602.831,1343.521,818.686,1370.690,796.532,1379.195,712.733,715.096,1159.104
410.760,741.717,134.685,427.662,488.104,504.726,615.314,787.060,1136.254,1747.375,1049.780,603.149,1341.099,822.845,nan,nan,1376.577,714.614,713.077,1151.004
412.700,739.173,134.400,424.845,492.592,502.615,615.490,787.264,1137.053,1746.461,1050.172,602.133,1338.749,826.286,nan,nan,1373.461,717.433,711.159,1144.241
415.891,733.772,134.368,425.215,494.551,501.729,615.962,788.358,1137.508,1745.935,1050.426,600.081,1336.359,830.164,nan,nan,1370.729,719.822,708.969,1136.772
418.205,730.701,134.243,423.471,499.632,499.482,616.421,789.132,1139.557,1744.272,1054.359,598.157,1332.986,834.142,nan,nan,1366.143,724.921,706.458,1128.971
421.018,725.573,134.107,421.608,506.105,497.101,616.246,788.899,1138.884,1744.270,1098.180,619.922,1330.024,837.896,nan,nan,1364.168,726.921,704.420,1123.248
424.127,718.813,133.701,420.014,507.355,496.184,616.468,789.020,1140.872,1742.649,1102.042,621.866,1327.424,839.022,nan,nan,1361.195,730.241,702.413,1117.471
427.188,712.888,133.120,418.309,512.167,494.775,617.260,790.305,1140.954,1742.131,1104.826,622.921,1323.710,842.533,nan,nan,1364.471,724.641,700.179,1111.389
430.649,706.357,133.711,418.602,516.679,494.508,617.324,790.864,1141.774,1741.486,1108.983,625.185,1320.166,845.231,1349.013,822.308,1361.996,728.290,697.532,1104.095
434.021,700.422,134.276,419.050,521.603,494.779,617.708,791.705,1141.312,1741.632,1113.562,627.652,1316.927,847.936,1348.368,822.163,1360.663,730.126,695.136,1097.201
437.515,694.403,136.700,413.827,526.545,495.893,617.306,790.862,1140.857,1741.670,1117.214,629.485,1314.139,849.651,1342.814,828.401,1358.687,733.244,692.704,1090.170
440.703,688.935,143.154,445.017,529.801,497.051,618.040,792.367,1141.633,1741.051,1121.718,631.780,1311.735,851.555,1338.563,833.084,1348.524,746.393,690.508,1082.679
443.614,684.004,150.719,430.493,534.649,498.957,619.257,794.686,1143.305,1739.510,1125.745,633.661,1307.372,857.214,1355.516,737.461,nan,nan,688.590,1075.908
446.590,678.832,157.478,417.813,540.738,500.991,619.099,794.238,1335.361,835.373,1130.661,635.980,1306.200,859.579,1353.478,740.062,1085.434,1772.763,686.302,1068.710
450.233,671.973,161.756,406.642,546.890,503.565,618.993,793.917,1329.771,842.013,1136.405,638.937,1302.978,864.026,1350.863,742.804,1006.114,767.343,683.902,1060.195
452.655,667.305,nan,nan,553.082,506.410,619.811,795.806,nan,nan,1140.605,641.243,1299.913,868.951,1348.404,746.147,1002.886,775.063,681.827,1054.391
455.584,660.947,nan,nan,558.905,509.134,619.431,794.983,nan,nan,1145.211,644.103,1297.571,873.467,1312.000,788.000,1000.872,779.548,679.462,1047.249
457.440,656.714,nan,nan,565.205,512.195,619.919,796.027,1343.728,751.305,1148.682,646.595,1295.713,877.524,nan,nan,999.002,783.735,677.410,1042.081
459.511,651.803,nan,nan,570.523,514.517,620.225,796.105,1342.158,752.805,1152.816,649.794,1293.971,880.685,nan,nan,996.824,788.823,674.973,1035.595
461.350,647.877,nan,nan,575.378,516.712,621.137,797.803,1340.588,754.305,1156.402,652.272,1292.042,884.934,nan,nan,995.572,791.670,672.621,1029.735
464.014,641.939,nan,nan,580.797,519.307,620.901,797.547,1339.018,755.805,1160.174,655.185,1289.720,888.541,1148.000,1678.000,993.146,797.463,670.212,1023.687
466.204,636.977,nan,nan,586.617,522.358,621.342,798.301,1341.212,754.197,1163.714,658.037,1287.491,892.403,1155.000,1677.000,990.924,802.337,667.277,1016.414
468.713,631.444,1127.481,1783.746,591.995,525.481,621.783,799.649,1338.141,758.216,1168.434,661.588,1285.133,894.897,1146.395,1706.245,989.599,805.846,664.771,1010.401
471.820,624.994,1143.000,1756.000,596.861,528.482,622.305,801.007,1340.232,756.634,1172.589,664.752,1282.798,898.227,1143.890,1728.231,988.243,809.240,662.227,1004.138
473.538,621.717,1144.505,1710.218,600.870,531.095,622.501,801.299,1336.086,761.526,1177.334,668.377,1279.805,901.328,nan,nan,986.992,812.288,659.581,997.230
475.743,617.908,1145.677,1692.278,605.083,533.955,622.925,802.201,1335.865,762.441,1181.947,671.488,1276.664,904.172,1138.881,1772.204,984.888,817.695,657.633,992.137
477.637,614.413,1145.391,1690.199,610.041,538.259,623.387,802.837,1333.881,764.995,1185.661,674.236,1276.468,904.422,1139.950,1770.403,984.868,817.867,654.706,984.787
480.045,610.070,1145.665,1687.218,616.854,544.330,622.980,802.399,1330.346,769.706,1190.560,677.696,1298.113,884.975,nan,nan,982.961,822.122,651.716,977.794
482.938,604.547,1145.432,1682.002,619.349,545.909,624.062,804.093,1330.038,770.755,1194.519,680.749,1295.291,888.610,96.814,486.147,982.046,823.690,649.268,972.411
485.182,600.334,1145.534,1680.853,624.917,550.491,624.136,804.392,1327.383,774.699,1198.795,684.264,1292.719,891.338,97.567,498.652,980.863,825.982,646.464,966.615
487.163,597.650,1145.448,1677.405,630.230,554.648,624.219,804.762,1326.417,776.369,1202.869,687.836,1290.617,893.973,97.682,505.150,978.399,832.382,643.979,961.046
489.456,593.036,1145.661,1672.331,635.097,558.007,624.805,805.645,1323.744,779.959,1205.779,690.395,1287.400,897.820,96.766,508.909,978.342,831.955,641.559,955.973
491.052,589.130,1145.499,1670.184,640.564,561.550,625.076,805.929,1322.581,781.100,1209.003,693.509,1286.420,898.992,95.847,511.951,975.692,838.231,638.250,949.459
493.550,583.717,1145.424,1668.103,645.060,564.706,625.513,806.305,1312.664,793.396,1210.645,694.800,1284.035,902.388,95.849,511.314,974.073,842.041,635.018,943.075
495.711,580.541,1145.253,1667.441,650.500,567.980,625.492,806.285,1317.292,787.031,1213.969,698.106,1282.737,904.000,95.926,506.451,972.912,844.582,631.902,936.918
497.007,578.135,1145.251,1666.298,654.591,570.472,626.032,807.390,1314.855,789.598,1219.472,703.588,1278.626,909.885,95.733,510.906,973.105,843.680,629.343,930.988
498.545,574.074,1145.219,1662.615,659.732,573.476,624.820,804.480,1316.257,787.973,1223.185,707.142,1279.090,908.458,94.940,518.663,970.563,849.339,626.052,923.212
500.494,568.041,1144.849,1659.058,664.668,576.395,626.641,807.966,1313.567,790.833,1226.854,710.487,1276.639,911.988,93.864,528.619,969.678,850.890,623.419,917.026
501.891,565.238,1144.860,1657.199,669.584,579.716,626.726,808.006,1311.048,793.665,1230.832,714.401,1275.077,914.490,92.949,534.016,969.934,849.881,620.627,909.729
504.931,559.351,1144.583,1654.437,674.090,582.855,627.305,808.982,1310.275,795.195,1232.369,715.968,1266.000,926.000,91.000,568.000,967.848,855.105,617.816,903.189
506.663,555.952,1144.503,1652.489,678.935,586.448,627.430,808.800,1307.784,798.589,1236.685,721.002,1256.297,935.185,nan,nan,967.042,856.289,615.050,896.385
508.698,551.478,1144.118,1649.507,682.806,589.205,628.397,810.008,1306.905,800.336,1240.657,725.981,1246.593,944.370,593.959,717.741,966.443,858.030,612.181,889.363
509.610,548.021,1143.830,1648.940,686.462,592.156,628.867,810.712,1303.933,805.027,1243.849,730.678,1245.807,945.202,88.359,572.668,965.736,858.782,610.001,884.060
509.982,544.376,1143.753,1647.542,692.002,596.695,629.655,811.882,1301.516,809.004,1246.407,736.562,1242.853,947.982,87.590,580.640,964.453,861.915,607.555,878.564
510.482,539.894,1143.575,1649.082,696.494,600.665,629.963,812.213,1298.985,813.550,1247.807,741.189,1239.917,951.436,86.377,597.134,964.046,863.020,605.314,873.438
511.121,534.449,1143.030,1645.103,701.085,604.449,630.225,812.475,1297.735,816.225,1249.135,746.119,1238.567,953.040,87.290,585.619,962.079,867.838,602.836,867.870
511.045,529.763,1143.125,1646.708,706.191,608.532,630.653,813.277,1296.006,819.107,1250.322,751.615,1236.313,956.251,87.146,589.091,961.035,869.847,600.419,862.730
510.625,524.179,1143.156,1641.666,710.431,611.634,631.666,814.820,1292.828,824.366,1250.875,756.964,1234.654,959.545,87.104,590.776,958.919,875.451,598.014,857.075
509.362,516.434,1142.572,1643.473,714.820,614.682,631.900,815.210,1289.860,828.792,1251.393,760.465,1230.910,965.491,87.194,593.107,959.212,875.204,596.034,852.077
508.347,512.026,1142.319,1642.271,719.199,617.509,632.512,816.255,1288.136,831.261,1251.895,768.094,1231.745,967.423,86.971,597.478,958.191,877.338,593.783,846.442
507.497,507.695,1142.286,1639.037,722.894,619.789,633.909,818.672,1287.817,832.044,1252.414,773.220,1230.338,971.476,86.979,598.724,957.146,880.082,591.621,840.282
506.474,503.169,1141.731,1635.352,727.704,622.736,634.670,819.825,1283.033,838.558,1252.730,778.616,1226.220,979.444,86.575,606.231,956.250,882.121,590.131,835.410
505.091,496.659,1141.475,1636.078,731.646,624.894,634.685,819.778,1280.548,842.137,1253.001,782.642,1226.098,981.214,86.943,606.743,955.601,883.868,588.215,830.016
504.166,491.797,1141.526,1636.750,736.030,627.461,635.289,820.687,1278.519,845.588,1253.205,789.510,1224.349,985.107,87.009,610.700,954.059,887.672,586.482,824.559
503.127,486.913,1140.964,1634.260,740.493,630.231,636.398,822.451,1278.666,846.211,1253.337,793.530,1225.141,985.862,86.913,614.250,954.012,887.796,585.050,819.790
502.045,481.403,1141.194,1634.167,744.723,632.656,636.414,822.586,1277.639,848.485,1253.508,799.917,1223.227,989.423,86.757,617.805,952.516,891.330,583.300,813.861
501.033,476.058,1140.820,1632.684,749.033,635.209,637.324,824.109,1274.446,853.479,1253.237,802.617,1242.034,968.990,87.493,616.122,952.135,892.345,581.395,807.308
499.677,470.841,1140.211,1631.199,752.864,637.499,637.824,824.998,1272.335,857.682,1252.791,807.233,1240.208,972.230,87.127,622.649,951.689,893.901,580.035,802.909
498.400,466.353,1139.369,1631.357,756.848,640.262,637.948,825.046,1270.819,860.758,1251.732,810.738,1224.000,987.000,86.677,626.873,950.951,895.184,578.805,799.159
496.692,460.906,1137.208,1629.740,760.007,642.326,638.539,826.074,1268.610,864.485,1250.674,814.243,1212.194,1003.366,86.801,627.805,950.694,896.093,577.109,794.159
495.682,457.558,1134.274,1628.652,763.888,644.932,638.550,826.001,1266.217,868.958,1249.576,817.846,1211.002,1006.451,86.770,631.615,949.250,898.564,575.728,789.774
495.141,455.324,1131.283,1627.886,767.996,647.390,639.382,827.435,1263.933,872.876,1247.733,821.562,1210.615,1010.677,86.342,633.691,948.869,900.164,574.177,784.705
493.735,451.787,1128.656,1628.954,771.999,649.695,639.491,827.436,1153.602,1704.537,1245.594,825.235,1210.895,1016.059,86.474,635.364,948.146,901.560,572.578,778.741
493.075,449.816,1123.911,1627.788,776.526,652.001,639.880,828.234,1155.275,1705.359,1244.048,827.664,1212.483,1022.225,86.253,638.354,947.235,903.943,571.478,774.158
492.597,448.587,1119.882,1628.167,780.988,654.134,638.823,825.909,nan,nan,1241.458,831.332,1214.174,1029.582,85.992,640.804,948.920,901.173,570.148,768.812
492.243,446.899,1116.530,1628.549,785.799,655.902,640.634,829.281,596.775,740.473,1239.040,834.839,1216.035,1035.022,86.259,641.124,1165.447,1696.072,569.051,763.728
491.562,444.478,1114.664,1629.230,789.347,657.245,640.824,829.294,597.713,741.775,1235.729,839.244,1217.744,1040.689,86.546,643.551,952.050,905.984,567.968,759.308
491.786,442.616,1113.404,1629.881,793.653,658.751,641.650,830.664,598.193,741.827,1233.250,842.821,1219.116,1044.786,86.141,644.971,954.317,920.833,566.879,753.542
491.978,439.946,1113.367,1631.020,797.752,659.817,641.684,830.579,598.430,741.067,1230.343,846.825,1220.212,1050.318,85.812,649.000,956.006,925.777,566.253,749.009
492.053,437.501,1109.438,1629.436,801.919,661.238,641.798,830.755,598.546,739.302,1226.847,851.106,1220.922,1055.468,85.997,650.310,957.771,936.104,564.950,742.478
492.196,435.139,1106.019,1628.212,807.187,662.745,641.587,830.144,599.169,738.458,1223.629,855.307,1221.616,1059.765,nan,nan,958.342,946.383,564.161,737.502
