x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
1419.189,657.061,nan,nan,1623.011,881.243,1597.069,807.487,1447.878,953.527,1448.648,1067.993,1377.592,800.374,1523.472,692.412,1592.220,689.860,1477.955,551.831
1418.351,656.940,nan,nan,1623.339,881.507,1597.424,807.284,1447.277,953.098,1449.292,1067.978,1377.709,800.657,1523.781,691.843,1592.584,687.853,1477.583,551.996
1419.553,656.954,nan,nan,1623.230,881.273,1597.646,807.162,1446.453,953.023,1449.361,1068.366,1377.470,802.301,1523.645,691.307,1592.510,687.139,1476.283,552.766
1419.153,657.350,1593.996,718.955,1623.868,881.053,1597.860,806.878,1445.749,952.508,1449.548,1068.205,1377.801,801.650,1523.752,691.071,1593.207,686.332,1476.018,552.972
1419.207,657.536,1594.137,719.739,1623.394,881.368,1597.840,806.804,1444.995,952.546,1449.980,1068.411,1377.931,801.743,1523.929,690.342,1593.150,685.945,1475.085,553.779
1418.610,657.765,1593.900,719.035,1624.292,880.825,1597.997,806.667,1443.846,952.465,1450.265,1068.850,1378.530,800.626,1523.701,690.322,1593.270,684.302,1472.787,554.492
1419.696,657.916,1593.861,719.454,1624.864,880.685,1598.646,806.498,1443.501,952.210,1450.825,1068.847,1378.407,800.748,1523.614,689.729,1593.610,681.582,1471.492,554.975
1417.821,658.408,nan,nan,1624.456,880.782,1598.611,806.239,1442.385,951.873,1450.928,1068.579,1378.593,801.328,1524.133,690.067,1593.141,682.314,1470.253,555.094
1417.758,658.311,1594.679,715.199,1624.719,880.710,1598.677,806.293,1442.062,951.794,1451.357,1068.861,1378.926,800.037,1523.619,689.214,1593.150,682.153,1467.135,556.208
1416.527,658.422,nan,nan,1625.540,880.232,1598.958,806.000,1440.873,951.537,1451.798,1069.773,1378.835,800.786,1523.712,689.068,1592.904,681.876,1467.063,556.157
1417.461,657.518,nan,nan,1626.388,880.171,1599.519,805.881,1440.450,951.420,1452.070,1069.517,1379.053,800.640,1523.657,689.135,1592.737,680.074,1465.394,556.487
1415.907,657.453,nan,nan,1626.553,880.022,1599.682,805.833,1439.796,951.391,1452.491,1069.643,1378.753,801.825,1524.133,688.921,1592.652,678.769,1462.836,557.497
1414.908,657.126,nan,nan,1626.793,879.963,1599.843,805.826,1439.135,950.860,1452.529,1069.641,1378.990,800.717,1524.103,688.589,1592.620,677.800,1459.384,558.275
1414.912,656.730,nan,nan,1626.745,880.174,1600.078,805.731,1438.297,950.547,1453.249,1069.667,1378.868,801.140,1524.023,688.008,1592.541,677.576,1458.112,558.543
1414.945,656.601,nan,nan,1627.358,880.044,1600.396,805.570,1437.689,950.228,1453.753,1069.949,1378.785,801.726,1524.546,688.182,1592.614,677.155,1457.106,558.754
1414.120,656.558,nan,nan,1627.814,879.804,1600.545,805.458,1437.093,950.215,nan,nan,1378.999,800.485,1524.650,688.689,1592.417,676.251,1455.041,559.416
1414.482,656.459,nan,nan,1628.543,879.879,1600.877,805.602,1436.333,949.297,1454.543,1069.898,1378.780,801.576,1524.539,688.271,1592.443,675.435,1455.745,559.394
1413.839,656.646,nan,nan,1628.305,880.038,1601.247,805.482,1435.823,949.483,1454.858,1069.963,1378.899,800.476,1524.801,688.074,1592.250,674.274,1453.764,560.066
1413.611,656.892,nan,nan,1629.160,879.721,1601.681,805.427,1435.414,949.478,1455.042,1070.034,1378.874,801.163,1524.768,688.087,1592.850,675.552,1451.804,560.691
