x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
1028.424,423.757,965.775,524.550,nan,nan,960.784,638.312,nan,nan,1041.944,467.545,962.703,715.170,nan,nan,837.680,595.919,900.136,488.929
1027.300,421.906,966.061,524.581,nan,nan,961.258,637.877,nan,nan,1042.078,467.933,960.172,714.138,nan,nan,837.697,594.079,899.837,488.171
1025.263,419.989,965.648,526.332,nan,nan,961.774,637.455,nan,nan,1044.480,466.625,958.939,713.173,nan,nan,837.679,592.698,899.731,487.037
1023.453,417.788,965.808,526.369,nan,nan,961.877,638.051,nan,nan,1045.765,466.178,957.236,712.284,1001.800,567.919,837.834,590.588,899.621,486.511
1023.167,417.139,965.934,527.095,nan,nan,961.660,639.338,nan,nan,1046.624,465.787,955.073,711.115,1002.845,566.743,837.855,589.112,899.755,486.801
1022.350,415.569,965.918,527.959,nan,nan,961.852,639.655,nan,nan,1047.997,465.211,953.592,710.097,1003.718,565.301,838.014,587.349,899.673,486.472
1022.560,415.341,965.972,528.475,nan,nan,nan,nan,nan,nan,1049.343,464.709,950.648,709.456,nan,nan,838.266,584.060,899.493,485.957
1022.758,414.765,965.926,528.730,nan,nan,nan,nan,nan,nan,1050.279,464.310,948.654,708.553,nan,nan,838.258,583.251,899.406,486.124
1022.801,414.550,965.561,530.122,nan,nan,nan,nan,nan,nan,1052.527,463.185,947.463,707.827,nan,nan,838.532,582.027,899.599,486.794
1022.226,413.429,965.829,529.802,nan,nan,963.810,637.815,nan,nan,1053.689,462.673,945.669,707.425,1006.696,560.456,838.644,581.393,899.197,485.916
1022.028,413.095,965.236,531.251,nan,nan,965.024,635.130,nan,nan,1054.612,462.270,943.433,706.701,1006.702,561.088,839.013,579.201,898.954,485.251
1021.794,412.596,965.086,531.271,nan,nan,965.169,634.665,nan,nan,1055.376,461.931,941.528,706.074,1007.730,559.901,839.109,578.149,899.247,485.894
1020.246,410.844,965.341,530.592,nan,nan,965.136,635.792,nan,nan,1056.173,461.797,939.676,705.569,1008.683,559.197,839.054,576.845,899.173,485.261
1019.500,410.057,964.964,530.928,nan,nan,965.647,635.037,nan,nan,1058.060,460.958,938.120,705.077,1009.769,558.564,839.219,574.717,898.649,483.299
1017.837,408.623,964.280,531.603,nan,nan,965.579,636.923,nan,nan,1058.364,460.901,936.252,704.408,1010.064,558.637,839.449,573.315,898.812,483.197
